source_row,facility_code,facility_name,province,district,latitude,longitude,facility_type_raw,facility_type_canonical,ownership_raw,ownership_canonical,location_raw,location_canonical,level_raw,level_canonical,contact_raw,status_raw,status_canonical,bed_capacity,date_opened,date_closed,comments,acceptable_missing_fields,frontend_missing_visible,geospatial_readiness,facility_setup_state,source_label,required_missing_fields,exclusion_reason
17,ZW010134,Gunura Clinic,Manicaland,Buhera,-19.858873,32.293098,RHC,RURAL_HEALTH_CENTRE,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,775976783,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
29,ZW010134,Mutepfe Clinic,Manicaland,Buhera,-19.765579,31.964419,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,783278433,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
47,ZW0102OE,Chikukwa Rural Health Centre,Manicaland,Chimanimani,-19.712595,32.929285,RDC,CLINIC,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,775802089,Open,ACTIVE_OR_OPERATIONAL,5,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
50,ZW0102OE,Chimanimani rural hospital,Manicaland,Chimanimani,-19.819566,32.857557,RDC,CLINIC,CRDC,RURAL_DISTRICT_COUNCIL,Urban,URBAN,Secondary,SECONDARY,774061559,Open,ACTIVE_OR_OPERATIONAL,54,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
134,ZW010492,Arnoldine Mission Clinic,Manicaland,Makoni,-18.235854,32.203052,Mission Clinic,MISSION_CLINIC,Mission,MISSION_FAITH_BASED,Rural,RURAL,Primary,PRIMARY,0786 933 476,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
139,ZW010403,Chinhenga Rural Health Centre,Manicaland,Makoni,-18.036386,32.502256,RHC,RURAL_HEALTH_CENTRE,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,0786 933 537,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
140,ZW010403,Chinyadza Clinic,Manicaland,Makoni,-18.662106,32.011125,Mission Clinic,MISSION_CLINIC,Mission,MISSION_FAITH_BASED,Rural,RURAL,Primary,PRIMARY,0786 933 585,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
146,ZW010437,Dumbabwe Clinic,Manicaland,Makoni,-18.421569,32.381855,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,0786 933 549,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
147,ZW010437,Era Mine Clinic,Manicaland,Makoni,-18.236531,32.261926,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,771351952,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
158,ZW010419,Maurice Nyagumbo Clinic,Manicaland,Makoni,-18.658817,32.329498,RHC,RURAL_HEALTH_CENTRE,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,775876468,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_CODE
